,Text
0,"It's a solid mall but it can have a ton of foot traffic.The good: While this is not the only place in Toronto to do some great shopping, you can find a lot of amazing stores. Unless you are looking for something very specific, you can get it here. Old Navy, Harry Rosen, Indigo, Apple, Oakley, Sport Chek... easy to meet all your needs.They recently upgraded the food court and it's great. The space is elegant and huge. There are a ton of options for grub whether you want something quick and dirty or something of higher quality.Being downtown, the mall is very easy to access. The Eaton Centre is well connected to public transportation - two subway stations (at either end), street cars, and buses. If you really need to drive, there is a parking garage in the mall.The bad: Traffic, traffic, traffic... This place can be a zoo depending on the time of day or year. Sometimes I have just walked in and walked out because of how busy this place can be. You get a combination of people who are there to shop, who are there to wander, and there just to kill time until they go to a baseball, hockey game, or show. If you are in a bad mood or in a rush, think twice before going in."
1,i love that this mall is connected to the train stations so it's super convenient to get to especially when its freezy outside. i came here mainly to shop at roots.. but like most mall stores.. sizes are limited and its crowded. i think its super cool that there is a shoppers inside. i found my lays ketchup chips here for 1.88 a bag. how awesome is that?!the mall doesn't have a lot of directories so it's kind of confusing.. but if u want to shop inside and have variety.. this is the place to go!
2,"The Toronto Eaton Centre is Toronto's largest mall - so its going to be busy with lots of people (interesting, goodlooking, weirdos, etc).Some shops in the Toronto Eaton Centre can be found in other malls but they have some  unique stores that are not in the rest of the GTA.Prices are on par with other malls/stores outside of the Eaton Centre.There is a lot of food options with 2 food courts i think, and a couple of restaurants (baton rouge).  Overall I think the Toronto Eaton Centre is for mall lovers, if you love big crowds, this is your place.Things I don't like - the washrooms are nothing special, and there isn't enough table and chairs in the food courts during peak hours (lunch, evening).Personally - I wouldn't travel all the way from Brampton or any other city to go to the Toronto Eaton Centre - but thats because I'm not a mall rat!"
3,"Lots of stores, always very busy regardless of time of day.  The Queen subway station is attatched to the mall so it is very convenient.  Large food court with many different international cuisines.Many higher-end stores like Michael Kors, Guess, MAC, and nice shoe stores.  People from all walks of life end up in the Eaton Centre, including homeless people.  Just be careful as they can sometimes be aggressive or confrontational.  Some people who aren't from Toronto aren't used to this so I'd recommend just being aware and extra careful after making an expensive purchase or carrying lots of bags when alone.There are lots of security officials and Toronto police around the mall at all times, but you can never be too careful."
4,"The Eaton Centre is the only big ""mall"" in the downtown core, so it ends up being:a) a HUGE tourist attractionand b) a magnet if you live downtown and you need to buy anything.There are so many days when I am running errands and I'll manage to get everything on my list from places that are NOT the Eaton Centre...but then that last thing...and I'm sucked in.All in all, it's not a bad mall. It has a decent selection of mall stores, and high-end ones to please the snobs (although the Coach store always smells like urine. I don't know why, but it's revolting).If I can offer one tip on the Eaton Centre, it is to avoid weekends. Fridays and Saturdays are a nightmare, Sundays aren't quite as bad, but generally the weekend sucks because it is when all the GTA people commute into the city, pay $20 for parking, and shop to their heart's content. And they're entitled to do that. I'd just shop in the morning instead."
5,Always a bustling place with premium shopping.  And various activities outside the centre are always interesting.  Today i got free pack of Hersey's S'mores pudding!!!
6,"I was a tourist in Toronto recently so I stood in front of the billboards outside of the Eaton Centre, near where native music was being performed, and smiled for a cell phone camera. Close by, men on motorcycles lingered together. A *certain* skunky smell filled the air for a quick moment as a group walked by. And then, I headed into the mall....And it looked like a mall. With many levels. And I kept getting confused by the levels and rando-steps and half-escalators. Mainly because, you know, I was the tourist in this situation. I was allowed to be puzzled by the newness of this set-up. Or.. something like that. Excuses here.So anyway, this place has some pretty neat stores. I really liked Indigo Books in particular. The Eaton Centre also boasts plenty of your well-known names, like H&M and Zara.I'd say if you're visiting Toronto, you should probably stick your head in to say you've been there. But it's nothing exceptionally spectacular. It does have a central location downtown, however, so if you find yourself in need of, say, socks on your vacation, there are plenty of shoe stores at the ready to sell you some socks here!"
7,"This is a tourist hotspot! I used to come here when I was younger just because I was mesmerized at the beauty of downtown. There's every store you could think of and they just keep expanding it! Whether it's inside Eaton Centre or just outside around Dundas Square - there's always something going on. Stores range from high end to cheap steals, so you can definitely kill a whole afternoon going from one end of the mall to the other.Now since my university is actually an extension of the top 3 floors of Eaton Centre, I'm pretty sick of this mall. The heat is always cranked up so I don't advice bringing a jacket or wearing too many layers. The entire mall spans from Dundas Station to Queen Station (and further if you include Hudson Bay and Saks Fifth as part of Eatons). There's rooftop parking and other parking garages in the area, but it's easiest to travel here by Subway. From the subway or the Path, you never have to step food outside.There's free wifi, but it's pretty bad. Individual store wifi is much better. Mall security here is also really uptight - I guess because it's downtown? I've done city-wide scavenger hunts and ""amazing race"" type activities in this location and they will kick you out. This mall is always busy, and the best and worst time of the year to come is during the holidays when you can appreciate the decorations and large Christmas tree!"
8,"If you happen to live downtown and want to walk to a shopping mall, this place is fine.  If not there is no reason to visit it.  For locals, all the stores are more or less duplicated elsewhere and for tourists, the high end shopping of Yorkville on the one hand or the bargains of Kensington Market on the other are  much more interesting.  The glass ceiling is kind of pretty and worth a few pics, but that is about all.  I have no idea why tourist guides even feel the need to mention this place in more than a passing listing of area shopping malls."
9,"Easily accessible! Can walk underground through the tunnels and taxis are readily available! They have a wide selection of stores!! Yes, they have zara, roots and even face shop!Huge food court at the very bottom floor! Seriously, any food you're craving, there's a restaurant for it!"
